time_ms,x1,y1,z1,x2,y2,z2
Calibrating sensors... Please keep them stationary!
Offsets calculated: 0.007, -0.008, -0.968 | 0.006, 0.055, -1.021
Calibration complete. Now measuring real data:
Time(ms), X1(g), Y1(g), Z1(g), X2(g), Y2(g), Z2(g)
57652, 0.088, 0.074, -0.018, 0.015, 0.010, 0.034
57858, -0.046, 0.029, -0.018, -0.000, 0.010, -0.010
58064, -0.001, -0.060, 0.012, 0.015, 0.010, -0.025
58270, 0.043, 0.118, -0.063, -0.000, 0.010, 0.005
58477, 0.013, -0.030, 0.071, 0.015, 0.010, -0.010
58683, -0.357, 0.074, -0.107, -0.015, -0.005, 0.034
58890, 0.369, 0.044, 0.056, 0.044, -0.005, 0.005
59096, -0.061, -0.015, 0.071, -0.000, -0.005, -0.010
59301, 0.028, -0.030, 0.056, 0.015, 0.025, 0.005
59508, 0.058, -0.000, -0.033, 0.044, 0.010, -0.025
59714, -0.090, 0.044, -0.063, 0.015, -0.020, -0.010
59921, -0.046, -0.015, 0.026, 0.015, 0.040, 0.020
60127, 0.058, 0.029, -0.018, -0.000, 0.025, -0.025
60334, -0.016, 0.014, -0.063, -0.015, 0.040, -0.055
60539, 0.147, 0.237, 0.086, -0.030, 0.025, 0.123
60746, 0.028, 0.014, 0.056, -0.015, 0.010, -0.010
60952, 0.102, 0.029, -0.003, 0.030, 0.010, 0.005
61158, 0.073, 0.044, 0.026, -0.015, 0.010, -0.040
61365, 0.013, -0.015, 0.012, 0.015, 0.025, 0.034
61571, 0.147, -0.030, 0.026, 0.015, 0.010, 0.005
61777, 0.043, -0.045, 0.012, 0.015, 0.025, 0.020
61983, 0.073, 0.014, -0.033, -0.015, 0.040, 0.020
62189, -0.031, -0.030, -0.018, 0.015, 0.010, 0.034
62396, -0.223, 0.014, -0.033, 0.030, 0.010, 0.020
62602, 0.191, 0.044, -0.003, 0.015, 0.010, 0.034
62809, 0.206, 0.088, 0.056, 0.015, 0.010, 0.020
63014, -0.090, -0.149, -0.003, 0.030, -0.005, 0.020
63221, 0.073, 0.103, 0.026, 0.015, -0.020, 0.005
63427, 0.117, 0.029, 0.012, -0.000, -0.005, 0.064
63633, -0.105, 0.251, -0.033, 0.015, 0.010, -0.025
63840, -0.031, 0.118, -0.003, -0.015, 0.040, 0.034
64046, 0.043, 0.118, 0.012, -0.000, -0.005, 0.049
64252, 0.028, 0.088, -0.018, -0.000, 0.010, 0.020
64458, -0.223, 0.088, -0.092, 0.044, -0.020, 0.020
64665, 0.058, 0.074, -0.048, 0.030, 0.010, -0.010
64871, 0.058, 0.074, 0.026, 0.015, 0.010, 0.005
65078, -0.031, -0.134, 0.041, -0.000, -0.005, 0.049
65284, -0.223, 0.251, 0.026, 0.030, -0.005, -0.010
65489, 0.236, 0.044, -0.018, 0.015, 0.040, -0.025
65696, -0.001, -0.415, -0.033, -0.000, 0.025, 0.064
65902, 0.191, 0.044, -0.018, 0.015, 0.010, 0.020
66109, -0.312, -0.237, -0.018, 0.030, 0.010, 0.034
66315, 0.236, 0.074, 0.012, -0.015, 0.025, 0.064
66522, -0.016, 0.014, 0.041, -0.000, 0.025, -0.010
66727, 0.117, 0.103, 0.012, -0.000, -0.005, -0.010
66933, -0.149, 0.014, -0.092, 0.030, 0.010, 0.049
67140, -0.268, 0.444, -0.063, 0.015, 0.025, -0.055
67346, 0.073, 0.044, -0.018, 0.030, 0.040, -0.040
67553, -0.238, -0.608, -0.048, 0.044, 0.010, 0.005
67759, 0.147, -0.030, 0.026, -0.000, 0.010, 0.020
67965, 0.295, -0.119, 0.041, -0.000, 0.055, -0.010
68171, -0.046, -0.015, -0.018, 0.015, 0.025, -0.040
68378, 0.102, 0.029, 0.041, -0.000, -0.020, 0.034
68584, -0.209, -0.015, -0.077, -0.000, 0.010, 0.005
68790, -0.283, -0.149, -0.063, -0.000, 0.025, 0.020
68997, -0.135, -0.149, -0.003, 0.015, -0.020, 0.049
69202, 0.176, -0.015, -0.018, -0.015, 0.025, 0.005
69409, 0.088, 0.074, -0.063, -0.015, 0.010, 0.020
69615, -0.164, -0.015, -0.137, 0.030, 0.010, -0.010
69822, -0.609, -0.386, -0.033, -0.000, 0.040, 0.005
70028, -0.194, -0.030, 0.012, -0.000, -0.005, 0.020
70234, 0.236, -0.311, 0.056, 0.015, 0.025, 0.020
70440, -0.179, -0.089, -0.048, -0.000, 0.010, 0.020
70646, -0.105, -0.104, -0.003, 0.059, -0.005, 0.034
70853, -0.135, -0.074, -0.048, 0.015, 0.025, 0.020
71059, 0.221, 0.074, 0.026, 0.015, 0.025, -0.025
71266, 0.162, 0.162, 0.130, 0.030, 0.025, 0.064
71472, -0.194, -0.178, -0.033, 0.030, 0.025, -0.025
71678, -0.046, -0.015, -0.048, -0.015, 0.025, -0.025
71884, 0.043, 0.014, -0.092, -0.000, -0.034, 0.020
72090, -0.416, -0.785, -0.077, 0.030, -0.020, 0.049
72297, -0.327, -0.134, -0.107, 0.030, 0.025, 0.034
72503, -0.357, 0.311, -0.048, -0.044, 0.055, 0.020
72710, 0.102, 0.059, 0.056, 0.015, 0.010, 0.005
72915, -0.061, -0.149, 0.012, 0.059, 0.010, 0.005
73122, -0.164, -0.015, -0.063, -0.030, 0.010, 0.049
73328, 0.295, 0.237, -0.033, -0.000, 0.010, -0.040
73535, 0.147, 0.207, -0.003, 0.044, 0.010, -0.010
73741, 0.162, -0.045, 0.086, -0.000, 0.010, 0.079
73947, -0.268, -0.045, -0.048, 0.015, 0.010, 0.020
74153, 0.176, -0.104, 0.026, 0.030, 0.025, -0.069
74359, 0.280, -0.386, -0.018, -0.015, 0.010, 0.020
74566, 0.073, -0.104, -0.033, 0.015, 0.010, 0.064
74772, 0.132, -0.060, 0.012, 0.015, 0.025, -0.025
74979, -0.046, -0.000, 0.012, 0.030, 0.010, 0.020
75185, -0.386, -0.193, -0.033, 0.015, -0.034, 0.034
75390, -0.238, 0.029, -0.003, 0.030, 0.010, 0.005
75597, 0.265, -0.030, 0.115, 0.030, 0.010, -0.025
75803, -0.031, 0.118, -0.048, -0.000, -0.020, 0.064
76010, 0.028, 0.148, -0.003, -0.000, 0.010, 0.094
76216, 0.088, -0.149, 0.012, 0.030, 0.010, 0.005
76423, 0.043, 0.162, 0.041, -0.000, 0.010, 0.049
76628, 0.399, -0.119, 0.145, 0.015, 0.025, 0.020
76835, -0.179, -0.060, -0.018, -0.015, 0.025, 0.049
77041, 0.102, -0.074, -0.048, 0.015, 0.010, 0.094
77247, 0.043, 0.059, 0.012, 0.030, 0.010, 0.005
77454, -0.016, -0.089, -0.003, 0.015, -0.005, 0.005
77660, -0.075, -0.000, -0.077, 0.015, 0.010, -0.010
77867, 0.028, 0.044, -0.048, 0.015, 0.010, 0.005
78072, 0.073, 0.281, -0.033, -0.015, -0.005, 0.005
78279, -0.001, 0.059, -0.122, 0.015, 0.010, 0.034
78485, 0.028, -0.104, -0.048, 0.015, 0.010, -0.040
78691, 0.028, 0.044, -0.048, -0.030, 0.025, 0.020
78898, -0.075, -0.104, 0.012, 0.030, 0.010, 0.034
79104, 0.028, -0.045, -0.077, -0.000, 0.040, -0.010
79310, 0.132, -0.015, 0.012, -0.000, 0.025, -0.055
79516, -0.105, 0.044, -0.003, 0.030, 0.010, 0.005
79723, -0.001, -0.000, 0.012, 0.015, 0.025, 0.020
79929, 0.073, 0.118, 0.056, -0.030, 0.055, 0.064
80135, -0.075, 0.118, -0.077, 0.015, 0.040, -0.025
80342, 0.102, 0.148, -0.033, 0.015, -0.005, 0.034
80547, 0.058, 0.177, 0.056, -0.000, -0.005, 0.005
80754, 0.310, 0.044, 0.086, 0.015, 0.010, -0.010
80960, 0.013, -0.089, 0.012, 0.030, 0.010, 0.005
81167, 0.013, 0.237, -0.048, -0.015, 0.025, 0.005
81373, -0.046, 0.148, -0.033, -0.000, -0.005, 0.034
81579, -0.090, -0.119, -0.033, 0.015, 0.010, 0.020
81785, 0.117, -0.060, 0.130, -0.000, 0.040, -0.055
81991, 0.221, -0.074, 0.160, -0.000, 0.025, 0.005
82198, 0.162, -0.104, 0.145, -0.015, 0.025, -0.025
82404, 0.043, -0.163, 0.056, 0.044, 0.010, 0.020
82611, 0.102, -0.104, 0.056, 0.015, 0.040, -0.010
82817, 0.176, 0.281, -0.018, -0.000, 0.010, -0.040
83022, 0.265, -0.000, 0.071, -0.000, 0.040, 0.049
83229, -0.001, -0.015, -0.033, -0.000, 0.010, 0.020
